title,area,addr,cat,x,y
고목정,34,충청남도 청양군 대치면 칠갑산로 668-19,A03,126.8450835121,36.4386460330
고사포야영장,37,전북특별자치도 부안군 변산면 변산해변로 765,A03,126.5109252198,35.6627595380
고산무궁화오토캠핑장,37,전북특별자치도 완주군 고산면 고산휴양림로 89,A03,127.2312251680,35.9742142010
고성잔디캠핑장,36,경상남도 고성군 하일면 공룡로 1287,A03,128.2148458415,34.9524997810
고운마을캠핑장,35,경상북도 의성군 단촌면 고운사길 203-21,A03,128.7247178386,36.4612663402
고창군 선운산 국민여가캠핑장,37,전북특별자치도 고창군 아산면 선운사로 158-62,A03,126.5829506151,35.5025817350
고향펜션캠핑,35,경상북도 봉화군 소천면 구마동길 1032,A03,128.9385659776,37.0129351194
곡교천시민체육공원,34,충청남도 아산시 염치읍 석정리 536-1,A03,126.9955158011,36.7993488678
곡성 키즈글램핑,38,전라남도 곡성군 죽곡면 오죽로 132,A03,127.3146889296,35.1595635457
곡성군청소년야영장,38,전라남도 곡성군 고달면 가정마을길 51,A03,127.3698878695,35.2279401177
곤달비캠핑장,35,경상북도 경주시 산내면 하신길 58-31,A03,129.0007003481,35.7325097123
곤지암야영장,31,경기도 광주시 도척면 저수지길 224-39,A03,127.3489724297,37.3094157456
골짜구니 캠핑장,32,강원특별자치도 양양군 서면 얼음골길 3,A03,128.5164056622,37.9633201163
골체오름캠핑,39,제주특별자치도 제주시 조천읍 번영로 1648-41,A03,126.7043529744,33.4518024351
곰섬오토캠프장,34,충청남도 태안군 남면 곰섬로 500-17,A03,126.2908350691,36.5886775843
곰섬캠핑장 2구역,34,충청남도 태안군 곰섬로 500-12,A03,126.2921210838,36.5878915856
곰앤패들보드 캠핑장,32,강원특별자치도 강릉시 해안로 656-1,A03,128.8953593321,37.8149974438
공릉관광지캠핑장,31,경기도 파주시 조리읍 장곡로 218,A03,126.8330874397,37.7495720060
공작산계곡 오토캠핑장,32,강원특별자치도 홍천군 화촌면 당무로 545,A03,128.0399230731,37.7133428236
공주계곡캠핑장,34,충청남도 공주시 사곡면 운정길 20,A03,127.0203201192,36.5578604104
공주북캠프,34,충청남도 공주시 신풍면 영정길 155-3,A03,126.9913127791,36.5146648607
관리도캠핑장,37,전북특별자치도 군산시 옥도면 관리도길 60-19,A03,126.3689423223,35.8177561603
관음사야영장,39,제주특별자치도 제주시 산록북로 588 (오등동),A03,126.5495254192,33.4222115659
광교호수공원 가족캠핑장,31,경기도 수원시 영통구 광교호수로 57 (하동),A03,127.0652991182,37.2749562936
광릉 해오름글램핑카라반,31,경기도 포천시 소흘읍 광릉수목원로874번길 5,A03,127.1460913703,37.7776854861
광릉솔개캠핑장,31,경기도 포천시 소흘읍 광릉수목원로779번길 120,A03,127.1444585696,37.7643592304
광릉숲이야기캠핑장,31,경기도 포천시 소흘읍 직동길 44,A03,127.1696978664,37.7666733088
광주시패밀리랜드 카라반캠핑장,5,광주광역시 북구 우치로 677 (생용동),A03,126.9014654688,35.2237436949
광탄리유원지,31,경기도 양평군 용문면 상광길 23-16,A03,127.6366571981,37.5124419363
괴강관광농원 카라반&캠핑장,33,충청북도 괴산군 칠성면 괴강로 354-14,A03,127.8245107034,36.7987721531
괴강국민여가캠핑장,33,충청북도 괴산군 괴산읍 충민로검승3길 10 괴강국민여가캠핑장 관리사무소,A03,127.8253048488,36.8068073567
괴산 도명산 오토캠핑장,33,충청북도 괴산군 청천면 고성4길 4-2,A03,127.7841821067,36.6600734443
교동아일랜드,2,인천광역시 강화군 교동면 교동남로 275,A03,126.3008550010,37.7729098632
교육가족체험장,34,충청남도 부여군 인세로 40-3,A03,126.9723876282,36.1671071219
구곡폭포 국민여가 캠핑장,32,강원특별자치도 춘천시 남산면 강촌구곡길 324,A03,127.6092569898,37.7948280972
구덕야영장,6,부산광역시 서구 꽃마을로156번길 109 (서대신동3가),A03,129.0097191372,35.1255892096
구름계곡오토캠핑장,31,경기도 가평군 북면 제령아랫말길 71,A03,127.5394633948,37.8875493507
구름아래오토캠핑장,35,경상북도 청도군 운문면 운문로 1033-14,A03,129.0027187848,35.6630981341
구름포해수욕장카라반,34,충청남도 태안군 소원면 구름포길 117,A03,126.1527244310,36.8355884154
구리토평가족캠핑장,31,경기도 구리시 왕숙천로 11-140 (토평동),A03,127.1581124210,37.5866662542
구마이오토캠핑장,35,경상북도 상주시 내서면 우서로 409,A03,128.0403094288,36.4545544160
구만동펜션오토캠핑장,32,강원특별자치도 인제군 북면 만해로 221,A03,128.3261880693,38.1931341669
구만산장오토캠핑장,36,경상남도 밀양시 산내면 봉의로 223-6,A03,128.8708320865,35.6004027498
구미캠핑장,35,경상북도 구미시 낙동제방길 200 (양호동),A03,128.3677280976,36.1376965336
구시포노을캠핑장,37,전북특별자치도 고창군 상하면 구시포안길 38,A03,126.4353847013,35.4422916659
구천계곡오토캠핑장,36,경상남도 밀양시 단장면 도래재로 133-12,A03,128.9229626216,35.5367358877
구학산채관광마을 희망캠핑장,32,강원특별자치도 원주시 신림면 구학산로 1624,A03,128.0635663056,37.2106458398
구화산바베큐,35,경상북도 김천시 구화산길 64-7,A03,128.1024541312,36.1469989558
국립 희리산 해송자연휴양림 야영장,34,충청남도 서천군 종천면 희리산길 206,A03,126.6640333569,36.1119136722
국립검마산자연휴양림캠핑장,35,경상북도 영양군 수비면 검마산길 191,A03,129.2340310286,36.7452242097
국립검봉산자연휴양림 야영장,32,강원특별자치도 삼척시 원덕읍 임원안길 525-145,A03,129.2994159033,37.2374163640
국립삼봉자연휴양림 야영장,32,강원특별자치도 홍천군 내면 삼봉휴양길 276,A03,128.4620695486,37.8520680925
국립운장산자연휴양림 야영장,37,전북특별자치도 진안군 정천면 휴양림길 77,A03,127.4328733805,35.8886108155
국립유명산자연휴양림,31,경기도 가평군 설악면 유명산길 79-53,A03,127.4909597553,37.5927549446
국립지리산자연휴양림캠핑장,36,경상남도 함양군 마천면 음정길 152,A03,127.6430218305,35.3464842667
국립천관산자연휴양림캠핑장,38,전라남도 장흥군 관산읍 칠관로 842-1150,A03,126.8996796143,34.5453505689
