title,area,contentid,addr,cat,x,y
대승령과 대승폭포,32,126643,강원특별자치도 인제군 북면 설악로,A01,128.3415306083,38.1196152453
대승사(문경),35,126169,경상북도 문경시 산북면 대승사길 283 (산북면),A02,128.2720887078,36.7498971181
대아수목원,37,125415,전북특별자치도 완주군 동상면 대아리,A01,127.3016188659,35.9753875222
대아저수지(대아호),37,126319,전북특별자치도 완주군 동상면 대아리,A01,127.2732436768,35.9730817321
대암산 용늪 (강원평화지역 국가지질공원),32,128702,강원특별자치도 인제군 북면 월학리,A01,128.1567595734,38.1762023353
대야도선착장,34,2758281,충청남도 태안군 안면읍 중장리,A01,126.4161158198,36.4673797881
대야도어촌체험휴양마을,34,3056826,충청남도 태안군 안면읍 대야로 349,A02,126.4153020146,36.4669909296
대야산,35,126569,경상북도 문경시 가은읍 완장리,A01,127.9325213124,36.6706471601
대야산 용추계곡,35,127913,경상북도 문경시 가은읍,A01,127.9514866237,36.6585600035
대연수목전시원,6,2783380,부산광역시 남구 신선로447번길 24 (대연동),A01,129.0986919647,35.1251964498
대왕수천예래생태공원,39,2852643,제주특별자치도 서귀포시 상예동,A01,126.3953094368,33.2456286340
대왕암 송림,7,1394298,울산광역시 동구 등대로 110,A01,129.4388882995,35.4911006709
대왕암공원,7,127515,울산광역시 동구 등대로 95 (일산동),A02,129.4352747432,35.4904590082
대왕암공원 출렁다리,7,2728939,울산광역시 동구 등대로 95 (일산동),A02,129.4352775223,35.4904034587
대왕저수지,31,2760156,경기도 성남시 수정구 상적동,A01,127.0836152686,37.4316523501
대운산,7,128214,"울산광역시 울주군 온양읍 대운상대길 225-92 ,경상남도 양산시",A01,129.2361865678,35.3901665277
대운선박,33,3464160,충청북도 괴산군 칠성면 산막이옛길 80-4,A02,127.8393771000,36.7611211922
대운암(청도),35,300080,경상북도 청도군 청도읍 청매로 117-320,A02,128.7826817520,35.5905216784
대원공원,31,753948,경기도 성남시 중원구 하대원동 182-11,A02,127.1506618859,37.4340282818
대원군별장(석파정),1,1605948,서울특별시 종로구 창의문로11길 4-1 (부암동),A02,126.9627744300,37.5948701151
대원사 용각부도,37,1613768,전북특별자치도 완주군 구이면 모악산길 243,A02,127.0957991164,35.7325171301
대원사(가평),31,1200932,경기도 가평군 북면 백둔로 21-162,A02,127.5024054516,37.8947117205
대원사(보성),38,126612,전라남도 보성군 문덕면 죽산길 506-8,A02,127.1333599536,34.9598718326
대원사(산청),36,126183,경상남도 산청군 삼장면 대원사길 455,A02,127.8071737941,35.3556805591
대원사(완주),37,300081,전북특별자치도 완주군 구이면 모악산길 243,A02,127.0957991164,35.7325171301
대원사(충주),33,300083,충청북도 충주시 사직산12길 55 (지현동),A02,127.9291353547,36.9693294723
대원사계곡,36,127798,경상남도 산청군 삼장면,A01,127.8101068526,35.3563249828
대유평공원,31,3428384,경기도 수원시 장안구 수성로 175 (정자동) 정자동,A01,126.9915582378,37.2874813034
대이작도,2,126700,인천광역시 옹진군 자월면 이작리,A01,126.2587835301,37.1749176125
대이작도선착장,2,2782719,인천광역시 옹진군 자월면 대이작로 4,A01,126.2478427700,37.1782837005
대장경테마파크,36,1905508,경상남도 합천군 가야면 가야산로 1160,A02,128.1357977688,35.7649207179
대장도,37,2860680,전북특별자치도 군산시 옥도면 대장도리,A01,126.3945094696,35.8181426562
대장마을,36,2794635,경상남도 산청군 금서면 친환경로2506번길 85,A02,127.8584760530,35.4147359120
대장봉,37,3026624,전북특별자치도 군산시 옥도면 대장도리,A01,126.3946150349,35.8173982984
대장봉 전망대,37,2948095,전북특별자치도 군산시 옥도면 대장도리,A02,126.3945094848,35.8175427247
대저생태공원,6,2487925,부산광역시 강서구 공항로 1246 (대저1동),A01,128.9845829117,35.2098876352
대저수문 생태공원,6,2748838,부산광역시 강서구 대저1동 279-9,A01,128.9924261214,35.2300382982
대적사(청도),35,300084,경상북도 청도군 화양읍 송금길 113,A02,128.7197449094,35.7159952475
대전 괴곡동 느티나무,3,2784718,대전광역시 서구 괴곡동,A01,127.3543169515,36.2863390767
대전 신흥사,3,2766959,대전광역시 유성구 동서대로735번길 24-9,A02,127.3453470164,36.3341528947
대전 엑스포 아쿠아리움,3,2782788,대전광역시 유성구 엑스포로 1 (도룡동),A02,127.3820481776,36.3751571874
대전 치유의 숲,3,2911386,대전광역시 중구 무수동 195,A01,127.4110312278,36.2900146617
