title,area,contentid,addr,cat,x,y
태균네횟집,34,2845457,충청남도 당진시 석문면 석문방조제로 1798-8,A05,126.5732812441,37.0234517136
태극당,1,2721659,서울특별시 중구 동호로24길 7 (장충동2가),A05,127.0051076826,37.5595805325
태극당,35,2832268,경상북도 영주시 번영로 154 태극당,A05,128.6251244736,36.8250173501
태기산막국수,32,607556,강원특별자치도 횡성군 둔내로 76,A05,128.2188434666,37.5112695964
태능갈비,32,134285,강원특별자치도 인제군 북면 원통로147번길 23,A05,128.2025903733,38.1226983337
태능배갈비,31,2855354,경기도 남양주시 경춘로 1023 (금곡동),A05,127.2151891641,37.6353310777
태능집,4,2771797,대구광역시 중구 달성로22길 86 (수창동),A05,128.5867605389,35.8743998825
태능초가집갈비,34,2834599,충청남도 논산시 중앙로398번길 7-7 1층,A05,127.0892373989,36.2005303358
태동반점,38,2844027,전라남도 목포시 마인계터로40번길 10-1,A05,126.3834302673,34.7900367827
태릉왕갈비,31,2864892,경기도 남양주시 불암산로 69 (별내동),A05,127.1064569757,37.6502829256
태릉허참갈비,31,2840798,경기도 남양주시 불암산로 30-2 (별내동),A05,127.1089318420,37.6470888973
태리주택,31,2905573,경기도 수원시 팔달구 화서문로31번길 8-12,A05,127.0120008864,37.2853596915
태림봉,2,724059,인천광역시 중구 차이나타운로59번길 23,A05,126.6194619135,37.4739641761
태림산채정식,1,232242,서울특별시 도봉구 노해로60길 32,A05,127.0342413467,37.6499761029
태문네,1,2849527,서울특별시 강서구 양천로28길 40,A05,126.8206047254,37.5714397417
태백관,6,2852602,부산광역시 동래구 충렬대로285번길 31 (칠산동),A05,129.0908960978,35.2018349452
태백닭갈비,32,2375375,강원특별자치도 태백시 중앙남1길 10,A05,128.9907204572,37.1714318275
태백산맥 꼬막맛집,38,1350590,전라남도 보성군 벌교읍 벌교천2길 58-1,A05,127.3447330644,34.8479796796
태백산맥식당,32,2874075,강원특별자치도 강릉시 해안로 517,A05,128.9035283620,37.8046182489
태백으뜸한우,32,681547,강원특별자치도 태백시 번영로 208 (황지동),A05,128.9853267715,37.1622216697
태백한우골실비식당,32,681652,강원특별자치도 태백시 대학길 35 (황지동),A05,128.9825299028,37.1587803444
태봉가든,32,2687739,강원특별자치도 철원군 서면 와수로110번안길 18,A05,127.4374735219,38.2351124638
태봉산한터오리골,31,2757208,경기도 용인시 처인구 양지면 주북로 440,A05,127.2796916533,37.2445220008
태성반점,37,2871087,전북특별자치도 군산시 축동로 112,A05,126.7108384180,35.9693529837
태성추어탕,31,2741578,경기도 평택시 만세로 1539 (청룡동),A05,127.1229008174,37.0268610056
태시트 TACIT,32,2839784,강원특별자치도 고성군 청간정길 25-2,A05,128.5574925292,38.2662940086
태양부양꼬치 강릉점,32,3536523,강원특별자치도 강릉시 회산로383번길 1 (회산동) 회산빌딩 1층,A05,128.8687195551,37.7417331792
태양상회,39,2905237,제주특별자치도 제주시 중앙로2길 31,A05,126.5216229112,33.5172256072
태양이네,34,2782172,충청남도 서천군 서천읍 충절로 42,A05,126.6868322710,36.0750654976
태양집,32,2875922,강원특별자치도 횡성군 강변로 939,A05,128.2012346853,37.4863388133
태양칼국수,7,2788414,울산광역시 중구 함월14길 54 (성안동),A05,129.3128968059,35.5789273138
태양커피,1,2847224,서울특별시 서초구 서초대로25길 55 (방배동),A05,126.9928329833,37.4902466989
태영한우·태영상차림식당,36,2814774,경상남도 합천군 삼가면 일부5길 11,A05,128.1232083501,35.4133352261
태웅이네 막국수,31,2736694,경기도 안성시 양성면 안성맞춤대로 2289-11,A05,127.2460846420,37.1080177286
태조대림감자국,1,712673,서울특별시 은평구 응암로 172,A05,126.9166871824,37.5872146236
태조밥상,37,2938673,전북특별자치도 전주시 완산구 경기전길 122,A05,127.1510448536,35.8140727026
태조석갈비,34,2743371,충청남도 천안시 동남구 태조산길 103 (유량동),A05,127.1748770144,36.8137031704
태종대암소한마당,6,1552695,부산광역시 영도구 태종로833번길 11 (동삼동),A05,129.0821201204,35.0623948366
태종대짬뽕,6,1128306,부산광역시 영도구 태종로 805 (동삼동),A05,129.0812062500,35.0646279036
태평소국밥(원조태평소국밥 태평본점),3,2775516,대전광역시 중구 태평로 116 (태평동),A05,127.3955093970,36.3268046244
태평식당,34,2913949,충청남도 논산시 옥녀봉로35번길 9,A05,127.0165365989,36.1616973962
태평양호,2,2846960,인천광역시 중구 예단포1로 2-10 운북어촌계 어항편익시설,A05,126.5021960354,37.5312387850
태평집,37,2870448,전북특별자치도 전주시 덕진구 조경단로 3-6,A05,127.1360845063,35.8357644203
태향,1,2836432,서울특별시 용산구 후암로57길 3-10,A05,126.9746550810,37.5532557207
태화루,33,2912451,충청북도 보은군 관기송현로 102 코코라아치킨,A05,127.8200879419,36.4352276168
태화산명가,31,2876941,경기도 광주시 도척윗로 35,A05,127.3336589043,37.3454557414
태화식당,34,1305113,충청남도 공주시 사곡면 마곡상가길 10 (사곡면),A05,127.0198590873,36.5564633406
태화원,2,135193,인천광역시 중구 차이나타운로59번길 10 (선린동),A05,126.6185786578,37.4740808137
태화육개장,6,2807806,부산광역시 부산진구 서면문화로 18,A05,129.0570057697,35.1592557554
태화장,3,1807586,대전광역시 동구 중앙로203번길 78,A05,127.4293534026,36.3338349770
태흥갈비,37,1602119,전북특별자치도 고창군 고창읍 중앙로 306-4,A05,126.7088522479,35.4343693734
태흥루1호점,32,3536423,강원특별자치도 강릉시 성산면 구산길 31,A05,128.8322596861,37.7178713415
택지골수제생갈비,32,2874093,강원특별자치도 강릉시 하슬라로232번길 1,A05,128.8761735453,37.7706827534
택지물회,32,2874112,강원특별자치도 강릉시 가작로 10,A05,128.8768124217,37.7692162684
탤런트 박철호의 덕이동주막,31,2863338,경기도 고양시 일산서구 하이파크3로 10 (덕이동),A05,126.7544351306,37.6927105597
탯자리나주곰탕,38,643038,전라남도 나주시 징고샅길 5-1,A05,126.7164727393,35.0311373342
탱고아구찜,5,2758779,광주광역시 북구 설죽로471번길 12 (삼각동),A05,126.8980441185,35.2010823090
터득골북샵,32,2650447,강원특별자치도 원주시 흥업면 대안로 511-42,A05,127.8721235547,37.2679856702
